场景分类,触发条件,推荐方案,证据等级,详细依据
单药_心肾保护,合并ASCVD/HF/CKD,SGLT2i 或 GLP-1RA,I类,根据2025联合治疗共识I类推荐，SGLT2i和GLP-1RA具有独立于降糖之外的心血管和肾脏保护作用。EMPA-REG、CANVAS等CVOT研究证实SGLT2i可降低MACE风险14%；SOUL研究证实司美格鲁肽片可降低MACE风险14%，非致死性心肌梗死风险降低26%；FLOW研究证实其可显著降低肾脏复合终点事件风险24%。合并心肾疾病者，不论HbA1c是否达标，均应优先启用。
单药_肥胖管理,BMI ≥ 24,GLP-1RA（司美格鲁肽）或 SGLT2i,IIa类,根据共识推荐（IIa类），超重或肥胖是T2DM的重要驱动因素，减重5%可显著改善血糖、血压、血脂。司美格鲁肽1.0mg治疗68周体重下降6.9%，SGLT2i减重1.6%~4.9%，兼具降糖与减重双重获益，有效改善胰岛素抵抗，降低后续治疗难度。
单药_老年低血糖,年龄≥65岁或低血糖高危,DPP-4i 或 二甲双胍,IIa类,根据共识（IIa类），老年患者低血糖感知能力下降，耐受性差。DPP-4i以葡萄糖浓度依赖性方式促进胰岛素分泌，不增加低血糖风险；二甲双胍单用亦无低血糖风险，两者均为老年和低血糖高危人群的安全选择。
单药_标准首选,无特殊并发症且不胖,二甲双胍,I类,根据2024防治指南I类推荐，二甲双胍是目前最常用的降糖药，具有降糖效果好（HbA1c降幅1.0%~1.5%）、不增加低血糖风险、费效比优越等优点，是大多数无并发症T2DM患者的单药治疗首选。
单药_餐后高血糖,餐后血糖显著升高,α-糖苷酶抑制剂（阿卡波糖）,IIa类,根据共识（IIa类），阿卡波糖通过抑制小肠α-葡萄糖苷酶延缓碳水化合物吸收，有效降低餐后血糖，且不增加低血糖风险，尤其适合以碳水化合物为主食、餐后血糖波动大的患者。
单药_胰岛素抵抗,明显胰岛素抵抗,TZD（吡格列酮）或 PPAR泛激动剂（西格列他钠）,IIa类,根据共识（IIa类），TZD和PPAR泛激动剂通过激活PPARγ增加外周组织胰岛素敏感性。吡格列酮不增加低血糖风险，IRIS研究证实其可降低卒中再发风险24%。适用于有明显胰岛素抵抗证据的患者。
单药_β细胞功能好,病程短、β细胞功能较好,GKA（多格列艾汀）,IIa类,根据共识（IIa类），GKA通过激活葡萄糖激酶改善血糖稳态，适用于尚存较好β细胞功能的早期T2DM患者，可作为单药治疗或起始联合的合理选择。
联合_启动指征,初诊HbA1c≥7.5% 或 单药治疗3个月未达标,Met + DPP-4i / SGLT2i / GLP-1RA,IIa类,根据共识（IIa类），VERIFY研究证实，早期联合治疗（如Met+DPP-4i）较阶梯治疗可更持久控制血糖，降低治疗失败风险。当HbA1c≥7.5%或单药治疗3个月未达标时，应尽早启动联合治疗，避免治疗惰性，延缓β细胞功能衰退。
联合_心肾优先,合并ASCVD/HF/CKD,Met + SGLT2i 或 Met + GLP-1RA,I类,根据共识I类推荐，对于合并心肾疾病的T2DM患者，无论HbA1c是否达标，治疗方案中均应包含具有心肾获益的降糖药物。Met联合SGLT2i或GLP-1RA可同时实现血糖达标和心肾保护。
联合_肥胖优先,BMI ≥ 24,Met + GLP-1RA 或 Met + SGLT2i,IIa类,根据共识（IIa类），超重或肥胖患者应优先考虑具有减重作用的降糖药。Met联合GLP-1RA（减重效果显著）或SGLT2i（减重效果中等）可协同控制血糖和体重，改善胰岛素抵抗。
联合_餐后高血糖,餐后血糖显著升高,Met + α-糖苷酶抑制剂（阿卡波糖）,IIa类,根据共识（IIa类），阿卡波糖通过抑制小肠α-葡萄糖苷酶延缓碳水化合物吸收，有效降低餐后血糖，且不增加低血糖风险。Met联合AGi兼顾空腹和餐后血糖，尤其适合以碳水化合物为主食的中国患者。
联合_胰岛素抵抗,明显胰岛素抵抗,Met + TZD（吡格列酮）或 Met + PPAR泛激动剂（西格列他钠）,IIa类,根据共识（IIa类），TZD和PPAR泛激动剂通过激活PPARγ增加外周组织胰岛素敏感性。吡格列酮不增加低血糖风险，IRIS研究证实其可降低卒中再发风险24%。适用于有明显胰岛素抵抗证据的患者。
联合_β细胞功能好,病程短、β细胞功能较好,Met + GKA（多格列艾汀）或 Met + DPP-4i,IIa类,根据共识（IIa类），GKA通过激活葡萄糖激酶改善血糖稳态，DPP-4i以葡萄糖浓度依赖性方式促进胰岛素分泌，两者均适用于尚存较好β细胞功能的早期T2DM患者，可作为起始联合治疗的合理选择。
联合_二甲双胍不耐受,二甲双胍不耐受/禁忌,DPP-4i + SGLT2i 或 SGLT2i + GLP-1RA,IIa类,根据共识，对于二甲双胍不耐受或存在禁忌的患者，可选择其他组合方案。DPP-4i联合SGLT2i或SGLT2i联合GLP-1RA均具有良好的降糖疗效和安全性，且可带来心肾获益，是合理的替代选择。
三联_强化治疗,二联治疗3个月未达标,Met + DPP-4i + SGLT2i 或 Met + SGLT2i + GLP-1RA,IIa类,根据共识推荐（IIa类），二联治疗3个月不达标提示患者存在多重病理生理缺陷。Met+DPP-4i+SGLT2i或Met+SGLT2i+GLP-1RA可同时覆盖胰岛素抵抗、β细胞功能减退、肠促胰素效应减弱、肾脏糖重吸收增加等多靶点，协同增效，且具有心肾额外获益。
三联_胰岛素抵抗为主,二联未达标且胰岛素抵抗明显,Met + DPP-4i + TZD,IIb类,根据共识，对于以胰岛素抵抗为主要病理生理缺陷的患者，在Met和DPP-4i基础上加用TZD可进一步改善胰岛素敏感性，低血糖风险小。但需注意体重增加和心衰风险，适用于心功能良好、无骨质疏松的患者。
