gene_symbol,evidence_tier,project_result,used_in_model,model_note,evidence_summary,primary_links
SLC2A2,A,High-effect DEG; T2D downregulated,yes,Present in all training/test cohorts,"GLUT2/SLC2A2 is related to human islet glucose transport and insulin secretion; external human-islet and monogenic diabetes evidence supports this candidate.","https://pubmed.ncbi.nlm.nih.gov/36656641/; https://pubmed.ncbi.nlm.nih.gov/22660720/"
ARG2,A,High-effect DEG; T2D downregulated,yes,Present in all training/test cohorts,"ARG2/polyamine signaling has been discussed directly in human pancreatic beta cells and T2D pathogenesis.","https://pubmed.ncbi.nlm.nih.gov/34829980/"
CLTRN,A,High-effect DEG; T2D downregulated,yes,Matched as CLTRN/TMEM27 across platforms,"CLTRN/TMEM27/collectrin is a beta-cell membrane protein linked to beta-cell proliferation, islet physiology and beta-cell mass biomarkers.","https://pubmed.ncbi.nlm.nih.gov/16330324/; https://pubmed.ncbi.nlm.nih.gov/20386877/"
PCOLCE2,A,High-effect DEG; T2D upregulated,yes,Present in all training/test cohorts,"PCOLCE2 is reported among human-islet T2D candidate genes and is consistent with extracellular-matrix enrichment in this project.","https://pubmed.ncbi.nlm.nih.gov/36656641/"
IAPP,A,High-effect DEG; T2D downregulated,yes,Present in all training/test cohorts,"IAPP/amylin is a classic human islet amyloid component in T2D and is closely linked to beta-cell dysfunction and islet amyloid pathology.","https://pubmed.ncbi.nlm.nih.gov/21742788/; https://pubmed.ncbi.nlm.nih.gov/22847497/"
PPP1R1A,A,High-effect DEG; T2D downregulated,yes,Present in all training/test cohorts,"PPP1R1A is reported in human islets as a regulator of GLP1R-mediated insulin secretion and appears in human-islet glucose metabolism studies.","https://pubmed.ncbi.nlm.nih.gov/33631146/; https://pubmed.ncbi.nlm.nih.gov/25489054/"
GABRA2,A,High-effect DEG; T2D downregulated,yes,Present in all training/test cohorts,"GABRA2 is connected with human islet epigenetic alterations related to mitochondrial function, insulin secretion and T2D.","https://pubmed.ncbi.nlm.nih.gov/38086799/"
OPRD1,A,High-effect DEG; T2D downregulated,yes,Present in all training/test cohorts,"OPRD1 is reported among functionally tested human-islet T2D candidate genes in the JCI candidate-gene study.","https://pubmed.ncbi.nlm.nih.gov/36656641/"
CHL1,A,High-effect DEG; T2D downregulated,yes,Present in all training/test cohorts,"CHL1 is reported among human-islet T2D candidate genes in external functional/epigenetic studies and is a high-effect DEG in this project.","https://pubmed.ncbi.nlm.nih.gov/36656641/; https://pubmed.ncbi.nlm.nih.gov/38086799/"
GLRA1,A,High-effect DEG; T2D downregulated,yes,Present in all training/test cohorts,"GLRA1 is reported among human-islet T2D candidate genes and is a high-effect DEG in this project.","https://pubmed.ncbi.nlm.nih.gov/36656641/"
GLP1R,B,FDR significant; effect size below high-effect cutoff,yes,Present in all training/test cohorts,"GLP1R is central to incretin signaling in human islets; this project shows FDR-significant downregulation but a smaller effect size.","https://pubmed.ncbi.nlm.nih.gov/22965295/; https://pubmed.ncbi.nlm.nih.gov/33631146/"
PDX1,B,FDR significant; effect size below high-effect cutoff,yes,Present in all training/test cohorts,"PDX1 is a master beta-cell identity and function transcription factor; external evidence links PDX1 methylation/expression changes in human pancreatic islets with insulin secretion and T2D.","https://pubmed.ncbi.nlm.nih.gov/22570331/"
NKX6-1,B,FDR significant; effect size below high-effect cutoff,yes,Present in all training/test cohorts,"NKX6.1 is a beta-cell transcription factor with literature support for maintaining beta-cell identity and function.","https://pubmed.ncbi.nlm.nih.gov/24035389/; https://pubmed.ncbi.nlm.nih.gov/33121533/"
SLC30A8,B,FDR significant; effect size below high-effect cutoff,yes,Matched as SLC30A8/ZnT8 across platforms,"SLC30A8/ZnT8 is a beta-cell zinc transporter and a well-known T2D susceptibility and insulin secretion gene.","https://pubmed.ncbi.nlm.nih.gov/20138556/; https://pubmed.ncbi.nlm.nih.gov/25287711/"
TXNIP,B,FDR significant; effect size below high-effect cutoff,no,Absent from the processed GSE86468 Ensembl matrix so it was not used for the cross-cohort model,"TXNIP is a glucose-responsive beta-cell stress/apoptosis gene with T2D relevance; it remains a searchable candidate but was not used in the current external-test model.","https://pubmed.ncbi.nlm.nih.gov/24911120/; https://pubmed.ncbi.nlm.nih.gov/18171713/"
